seqnames	start	end	width	strand	peakNames	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol
chr1	2342184	2342646	463	*	c("macs_OLAP1__OLAP_1_new_peak_1", "macs_DMSO1__DMSO_1_new_peak_3", "macs_OLAP2__OLAP_2_new_peak_2", "macs_DMSO2__DMSO_2_new_peak_1")	0001	ENSG00000116151	2346220	2366219	-	downstream	24035	3574	Overlapping	MORN1
chr1	2342184	2342646	463	*	c("macs_OLAP1__OLAP_1_new_peak_1", "macs_DMSO1__DMSO_1_new_peak_3", "macs_OLAP2__OLAP_2_new_peak_2", "macs_DMSO2__DMSO_2_new_peak_1")	0001	ENSG00000157911	2334011	2354010	-	inside	11826	8173	Overlapping	PEX10
chr1	2342184	2342646	463	*	c("macs_OLAP1__OLAP_1_new_peak_1", "macs_DMSO1__DMSO_1_new_peak_3", "macs_OLAP2__OLAP_2_new_peak_2", "macs_DMSO2__DMSO_2_new_peak_1")	0001	ENSG00000229813	2347420	2367419	+	upstream	-5236	4774	NearestLocation	NA
chr1	4657271	4657564	294	*	c("macs_OLAP2__OLAP_2_new_peak_3", "macs_DMSO1__DMSO_1_new_peak_4", "macs_OLAP1__OLAP_1_new_peak_3", "macs_DMSO2__DMSO_2_new_peak_2")	0002	ENSG00000232596	4621609	4641608	+	downstream	35662	15663	NearestLocation	LINC01646
chr1	5787291	5787677	387	*	c("macs_DMSO2__DMSO_2_new_peak_3", "macs_DMSO1__DMSO_1_new_peak_6", "macs_OLAP1__OLAP_1_new_peak_6", "macs_OLAP2__OLAP_2_new_peak_5")	0003	ENSG00000236948	5718356	5738355	-	upstream	-48936	48936	NearestLocation	NA
chr1	7258963	7259181	219	*	c("macs_OLAP1__OLAP_1_new_peak_8", "macs_DMSO2__DMSO_2_new_peak_4", "macs_OLAP2__OLAP_2_new_peak_8", "macs_DMSO1__DMSO_1_new_peak_7")	0004	ENSG00000207056	7269421	7289420	+	upstream	-10458	10240	NearestLocation	NA
chr1	8131004	8131329	326	*	c("macs_OLAP2__OLAP_2_new_peak_9", "macs_DMSO1__DMSO_1_new_peak_9", "macs_DMSO2__DMSO_2_new_peak_6", "macs_OLAP1__OLAP_1_new_peak_10")	0005	ENSG00000232848	8108524	8128523	-	upstream	-2481	2481	NearestLocation	NA
chr1	8319111	8319705	595	*	c("macs_OLAP1__OLAP_1_new_peak_12", "macs_DMSO1__DMSO_1_new_peak_10", "macs_OLAP2__OLAP_2_new_peak_11", "macs_DMSO2__DMSO_2_new_peak_8")	0006	ENSG00000233645	8270590	8290589	-	upstream	-28522	28522	NearestLocation	NA
chr1	8472566	8472900	335	*	c("macs_OLAP2__OLAP_2_new_peak_13", "macs_DMSO1__DMSO_1_new_peak_11", "macs_OLAP1__OLAP_1_new_peak_13", "macs_DMSO2__DMSO_2_new_peak_9")	0007	ENSG00000232912	8474706	8494705	+	upstream	-2140	1806	NearestLocation	NA
chr1	9495275	9495493	219	*	c("macs_DMSO2__DMSO_2_new_peak_14", "macs_OLAP2__OLAP_2_new_peak_15", "macs_OLAP1__OLAP_1_new_peak_18", "macs_DMSO1__DMSO_1_new_peak_15")	0008	ENSG00000239244	9487838	9507837	-	inside	12562	7437	NearestLocation	NA
chr1	9496297	9496765	469	*	c("macs_DMSO2__DMSO_2_new_peak_15", "macs_DMSO1__DMSO_1_new_peak_16", "macs_OLAP1__OLAP_1_new_peak_19", "macs_OLAP2__OLAP_2_new_peak_16")	0009	ENSG00000239244	9487838	9507837	-	inside	11540	8459	NearestLocation	NA
chr1	9613770	9614099	330	*	c("macs_OLAP1__OLAP_1_new_peak_20", "macs_DMSO2__DMSO_2_new_peak_16", "macs_OLAP2__OLAP_2_new_peak_17", "macs_DMSO1__DMSO_1_new_peak_17")	0010	ENSG00000171612	9589542	9609541	+	downstream	24228	4229	Overlapping	SLC25A33
chr1	9613770	9614099	330	*	c("macs_OLAP1__OLAP_1_new_peak_20", "macs_DMSO2__DMSO_2_new_peak_16", "macs_OLAP2__OLAP_2_new_peak_17", "macs_DMSO1__DMSO_1_new_peak_17")	0010	ENSG00000231181	9626486	9646485	+	upstream	-12716	12387	NearestLocation	NA
chr1	9903601	9903841	241	*	c("macs_OLAP1__OLAP_1_new_peak_21", "macs_DMSO1__DMSO_1_new_peak_20", "macs_OLAP2__OLAP_2_new_peak_19", "macs_DMSO2__DMSO_2_new_peak_18")	0011	ENSG00000223989	9898377	9918376	+	inside	5224	5224	NearestLocation	NA
chr1	10169423	10169750	328	*	c("macs_OLAP1__OLAP_1_new_peak_23", "macs_DMSO2__DMSO_2_new_peak_19", "macs_DMSO1__DMSO_1_new_peak_21", "macs_OLAP2__OLAP_2_new_peak_20")	0012	ENSG00000201746	10213331	10233330	+	upstream	-43908	43581	NearestLocation	NA
chr1	10177261	10177533	273	*	c("macs_DMSO1__DMSO_1_new_peak_22", "macs_OLAP2__OLAP_2_new_peak_21", "macs_OLAP1__OLAP_1_new_peak_24", "macs_DMSO2__DMSO_2_new_peak_20")	0013	ENSG00000201746	10213331	10233330	+	upstream	-36070	35798	NearestLocation	NA
chr1	10696103	10696361	259	*	c("macs_OLAP1__OLAP_1_new_peak_25", "macs_OLAP2__OLAP_2_new_peak_22", "macs_DMSO2__DMSO_2_new_peak_21", "macs_DMSO1__DMSO_1_new_peak_23")	0014	ENSG00000243267	10666894	10686893	+	downstream	29209	9210	NearestLocation	NA
chr1	11212203	11212542	340	*	c("macs_DMSO1__DMSO_1_new_peak_24", "macs_DMSO2__DMSO_2_new_peak_22", "macs_OLAP2__OLAP_2_new_peak_23", "macs_OLAP1__OLAP_1_new_peak_26")	0015	ENSG00000225602	11193956	11213955	+	inside	18247	1413	Overlapping	MTOR-AS1
chr1	11212203	11212542	340	*	c("macs_DMSO1__DMSO_1_new_peak_24", "macs_DMSO2__DMSO_2_new_peak_22", "macs_OLAP2__OLAP_2_new_peak_23", "macs_OLAP1__OLAP_1_new_peak_26")	0015	ENSG00000243617	11202408	11222407	+	inside	9795	9795	NearestLocation	NA
chr1	11316207	11316773	567	*	c("macs_DMSO1__DMSO_1_new_peak_26", "macs_OLAP1__OLAP_1_new_peak_27", "macs_OLAP2__OLAP_2_new_peak_24", "macs_DMSO2__DMSO_2_new_peak_23")	0016	ENSG00000198793	11312565	11332564	-	inside	16357	3642	Overlapping	MTOR
chr1	11316207	11316773	567	*	c("macs_DMSO1__DMSO_1_new_peak_26", "macs_OLAP1__OLAP_1_new_peak_27", "macs_OLAP2__OLAP_2_new_peak_24", "macs_DMSO2__DMSO_2_new_peak_23")	0016	ENSG00000120942	11323264	11343263	+	upstream	-7057	6491	NearestLocation	UBIAD1
chr1	12109792	12110080	289	*	c("macs_OLAP2__OLAP_2_new_peak_27", "macs_OLAP1__OLAP_1_new_peak_30", "macs_DMSO1__DMSO_1_new_peak_29", "macs_DMSO2__DMSO_2_new_peak_24")	0017	ENSG00000243539	12087068	12107067	-	upstream	-2725	2725	NearestLocation	NA
chr1	12109792	12110080	289	*	c("macs_OLAP2__OLAP_2_new_peak_27", "macs_OLAP1__OLAP_1_new_peak_30", "macs_DMSO1__DMSO_1_new_peak_29", "macs_DMSO2__DMSO_2_new_peak_24")	0017	ENSG00000120949	12113435	12133434	+	upstream	-3643	3355	Overlapping	TNFRSF8
chr1	12536194	12536429	236	*	c("macs_DMSO2__DMSO_2_new_peak_25", "macs_DMSO1__DMSO_1_new_peak_32", "macs_OLAP2__OLAP_2_new_peak_28", "macs_OLAP1__OLAP_1_new_peak_32")	0018	ENSG00000239149	12557301	12577300	+	upstream	-21107	20872	NearestLocation	SNORA59A
chr1	15064758	15065093	336	*	c("macs_OLAP1__OLAP_1_new_peak_34", "macs_OLAP2__OLAP_2_new_peak_29", "macs_DMSO2__DMSO_2_new_peak_27", "macs_DMSO1__DMSO_1_new_peak_33")	0019	ENSG00000235829	15009110	15029109	-	upstream	-35649	35649	NearestLocation	NA
chr1	19753723	19753988	266	*	c("macs_DMSO2__DMSO_2_new_peak_29", "macs_OLAP1__OLAP_1_new_peak_38", "macs_DMSO1__DMSO_1_new_peak_35", "macs_OLAP2__OLAP_2_new_peak_34")	0020	ENSG00000240490	19740879	19760878	+	inside	12844	6890	NearestLocation	NA
chr1	19760097	19760334	238	*	c("macs_DMSO2__DMSO_2_new_peak_30", "macs_DMSO1__DMSO_1_new_peak_36", "macs_OLAP2__OLAP_2_new_peak_35", "macs_OLAP1__OLAP_1_new_peak_39")	0021	ENSG00000240490	19740879	19760878	+	inside	19218	544	NearestLocation	NA
chr1	20348114	20348459	346	*	c("macs_OLAP2__OLAP_2_new_peak_37", "macs_OLAP1__OLAP_1_new_peak_41", "macs_DMSO1__DMSO_1_new_peak_38", "macs_DMSO2__DMSO_2_new_peak_32")	0022	ENSG00000127472	20344673	20364672	+	inside	3441	3441	NearestLocation	PLA2G5
chr1	20359031	20359414	384	*	c("macs_DMSO1__DMSO_1_new_peak_39", "macs_OLAP1__OLAP_1_new_peak_42", "macs_OLAP2__OLAP_2_new_peak_38", "macs_DMSO2__DMSO_2_new_peak_33")	0023	ENSG00000127472	20344673	20364672	+	inside	14358	5258	NearestLocation	PLA2G5
chr1	22087606	22087908	303	*	c("macs_OLAP1__OLAP_1_new_peak_44", "macs_DMSO2__DMSO_2_new_peak_35", "macs_OLAP2__OLAP_2_new_peak_43", "macs_DMSO1__DMSO_1_new_peak_41")	0024	ENSG00000231978	22084763	22104762	+	inside	2843	2843	NearestLocation	NA
chr1	24310900	24311377	478	*	c("macs_OLAP1__OLAP_1_new_peak_45", "macs_OLAP2__OLAP_2_new_peak_47", "macs_DMSO2__DMSO_2_new_peak_39", "macs_DMSO1__DMSO_1_new_peak_45")	0025	ENSG00000188529	24297418	24317417	-	inside	6517	6040	NearestLocation	SRSF10
chr1	24455677	24456049	373	*	c("macs_OLAP1__OLAP_1_new_peak_46", "macs_DMSO1__DMSO_1_new_peak_46", "macs_OLAP2__OLAP_2_new_peak_48", "macs_DMSO2__DMSO_2_new_peak_40")	0026	ENSG00000142661	24428666	24448665	-	upstream	-7012	7012	NearestLocation	MYOM3
chr1	24455677	24456049	373	*	c("macs_OLAP1__OLAP_1_new_peak_46", "macs_DMSO1__DMSO_1_new_peak_46", "macs_OLAP2__OLAP_2_new_peak_48", "macs_DMSO2__DMSO_2_new_peak_40")	0026	ENSG00000142677	24459612	24479611	-	downstream	23934	3563	Overlapping	IL22RA1
chr1	24711273	24711566	294	*	c("macs_OLAP1__OLAP_1_new_peak_47", "macs_DMSO2__DMSO_2_new_peak_41", "macs_DMSO1__DMSO_1_new_peak_47", "macs_OLAP2__OLAP_2_new_peak_49")	0027	ENSG00000001461	24732285	24752284	+	upstream	-21012	20719	NearestLocation	NIPAL3
chr1	26406642	26406970	329	*	c("macs_OLAP1__OLAP_1_new_peak_49", "macs_OLAP2__OLAP_2_new_peak_51", "macs_DMSO1__DMSO_1_new_peak_50", "macs_DMSO2__DMSO_2_new_peak_44")	0028	ENSG00000158022	26384928	26404927	-	upstream	-1715	1715	NearestLocation	TRIM63
chr1	28417594	28417855	262	*	c("macs_OLAP1__OLAP_1_new_peak_51", "macs_DMSO1__DMSO_1_new_peak_52", "macs_OLAP2__OLAP_2_new_peak_53", "macs_DMSO2__DMSO_2_new_peak_47")	0029	ENSG00000158161	28405208	28425207	-	inside	7613	7352	NearestLocation	EYA3
chr1	28417594	28417855	262	*	c("macs_OLAP1__OLAP_1_new_peak_51", "macs_DMSO1__DMSO_1_new_peak_52", "macs_OLAP2__OLAP_2_new_peak_53", "macs_DMSO2__DMSO_2_new_peak_47")	0029	ENSG00000228589	28412934	28432933	-	inside	15339	4660	Overlapping	NA
chr1	30155715	30156028	314	*	c("macs_OLAP1__OLAP_1_new_peak_53", "macs_DMSO1__DMSO_1_new_peak_54", "macs_OLAP2__OLAP_2_new_peak_54", "macs_DMSO2__DMSO_2_new_peak_49")	0030	ENSG00000221126	30107526	30127525	-	upstream	-28190	28190	NearestLocation	NA
chr1	31137286	31137528	243	*	c("macs_DMSO1__DMSO_1_new_peak_55", "macs_OLAP2__OLAP_2_new_peak_55", "macs_OLAP1__OLAP_1_new_peak_54", "macs_DMSO2__DMSO_2_new_peak_50")	0031	ENSG00000186056	31180941	31200940	+	upstream	-43655	43413	NearestLocation	MATN1-AS1
chr1	31731380	31731830	451	*	c("macs_DMSO1__DMSO_1_new_peak_56", "macs_OLAP2__OLAP_2_new_peak_56", "macs_OLAP1__OLAP_1_new_peak_55", "macs_DMSO2__DMSO_2_new_peak_51")	0032	ENSG00000084628	31702400	31722399	-	upstream	-8981	8981	NearestLocation	NKAIN1
chr1	31731380	31731830	451	*	c("macs_DMSO1__DMSO_1_new_peak_56", "macs_OLAP2__OLAP_2_new_peak_56", "macs_OLAP1__OLAP_1_new_peak_55", "macs_DMSO2__DMSO_2_new_peak_51")	0032	ENSG00000229447	31726530	31746529	-	inside	15149	4850	Overlapping	NA
chr1	32967540	32967964	425	*	c("macs_DMSO1__DMSO_1_new_peak_58", "macs_DMSO2__DMSO_2_new_peak_56", "macs_OLAP2__OLAP_2_new_peak_61", "macs_OLAP1__OLAP_1_new_peak_58")	0033	ENSG00000215897	32920659	32940658	+	downstream	46881	26882	NearestLocation	NA
chr1	32967540	32967964	425	*	c("macs_DMSO1__DMSO_1_new_peak_58", "macs_DMSO2__DMSO_2_new_peak_56", "macs_OLAP2__OLAP_2_new_peak_61", "macs_OLAP1__OLAP_1_new_peak_58")	0033	ENSG00000160062	32920659	32940658	+	downstream	46881	26882	NearestLocation	ZBTB8A
chr1	33948013	33948308	296	*	c("macs_OLAP2__OLAP_2_new_peak_66", "macs_DMSO2__DMSO_2_new_peak_60", "macs_DMSO1__DMSO_1_new_peak_61", "macs_OLAP1__OLAP_1_new_peak_59")	0034	ENSG00000121903	33928233	33948232	+	overlapEnd	19780	76	Overlapping	ZSCAN20
chr1	33948013	33948308	296	*	c("macs_OLAP2__OLAP_2_new_peak_66", "macs_DMSO2__DMSO_2_new_peak_60", "macs_DMSO1__DMSO_1_new_peak_61", "macs_OLAP1__OLAP_1_new_peak_59")	0034	ENSG00000235907	33967609	33987608	+	upstream	-19596	19301	NearestLocation	NA
chr1	34125974	34126261	288	*	c("macs_DMSO1__DMSO_1_new_peak_63", "macs_OLAP1__OLAP_1_new_peak_61", "macs_OLAP2__OLAP_2_new_peak_68", "macs_DMSO2__DMSO_2_new_peak_62")	0035	ENSG00000235907	33967609	33987608	+	downstream	158365	138366	NearestLocation	NA
chr1	35203669	35203948	280	*	c("macs_OLAP1__OLAP_1_new_peak_62", "macs_OLAP2__OLAP_2_new_peak_69", "macs_DMSO2__DMSO_2_new_peak_63", "macs_DMSO1__DMSO_1_new_peak_64")	0036	ENSG00000189280	35210649	35230648	+	upstream	-6980	6701	NearestLocation	GJB5
chr1	35791930	35792220	291	*	c("macs_DMSO1__DMSO_1_new_peak_65", "macs_OLAP1__OLAP_1_new_peak_63", "macs_OLAP2__OLAP_2_new_peak_70", "macs_DMSO2__DMSO_2_new_peak_64")	0037	ENSG00000229994	35806324	35826323	+	upstream	-14394	14104	NearestLocation	NA
chr1	36627166	36627541	376	*	c("macs_OLAP2__OLAP_2_new_peak_71", "macs_DMSO2__DMSO_2_new_peak_65", "macs_DMSO1__DMSO_1_new_peak_66", "macs_OLAP1__OLAP_1_new_peak_64")	0038	ENSG00000054116	36605099	36625098	-	upstream	-2068	2068	NearestLocation	TRAPPC3
chr1	36627166	36627541	376	*	c("macs_OLAP2__OLAP_2_new_peak_71", "macs_DMSO2__DMSO_2_new_peak_65", "macs_DMSO1__DMSO_1_new_peak_66", "macs_OLAP1__OLAP_1_new_peak_64")	0038	ENSG00000116871	36611195	36631194	+	inside	15971	3653	Overlapping	MAP7D1
chr1	36665704	36666029	326	*	c("macs_OLAP2__OLAP_2_new_peak_72", "macs_DMSO1__DMSO_1_new_peak_67", "macs_DMSO2__DMSO_2_new_peak_66", "macs_OLAP1__OLAP_1_new_peak_65")	0039	ENSG00000054118	36680018	36700017	+	upstream	-14314	13989	NearestLocation	THRAP3
chr1	36705336	36705848	513	*	c("macs_OLAP2__OLAP_2_new_peak_74", "macs_DMSO1__DMSO_1_new_peak_68", "macs_DMSO2__DMSO_2_new_peak_68", "macs_OLAP1__OLAP_1_new_peak_66")	0040	ENSG00000231849	36697758	36717757	-	inside	12421	7578	NearestLocation	NA
chr1	36734925	36735309	385	*	c("macs_DMSO1__DMSO_1_new_peak_69", "macs_DMSO2__DMSO_2_new_peak_69", "macs_OLAP1__OLAP_1_new_peak_67", "macs_OLAP2__OLAP_2_new_peak_75")	0041	ENSG00000231849	36697758	36717757	-	upstream	-17168	17168	NearestLocation	NA
chr1	37964750	37965108	359	*	c("macs_DMSO2__DMSO_2_new_peak_71", "macs_DMSO1__DMSO_1_new_peak_72", "macs_OLAP2__OLAP_2_new_peak_77", "macs_OLAP1__OLAP_1_new_peak_68")	0042	ENSG00000188904	37945530	37965529	-	inside	779	421	NearestLocation	NA
chr1	37964750	37965108	359	*	c("macs_DMSO2__DMSO_2_new_peak_71", "macs_DMSO1__DMSO_1_new_peak_72", "macs_OLAP2__OLAP_2_new_peak_77", "macs_OLAP1__OLAP_1_new_peak_68")	0042	ENSG00000246124	37948784	37968783	+	inside	15966	3675	Overlapping	NA
chr1	40010041	40010462	422	*	c("macs_DMSO1__DMSO_1_new_peak_75", "macs_OLAP2__OLAP_2_new_peak_80", "macs_DMSO2__DMSO_2_new_peak_74", "macs_OLAP1__OLAP_1_new_peak_70")	0043	ENSG00000182109	40001860	40021859	-	inside	11818	8181	Overlapping	NA
chr1	40010041	40010462	422	*	c("macs_DMSO1__DMSO_1_new_peak_75", "macs_OLAP2__OLAP_2_new_peak_80", "macs_DMSO2__DMSO_2_new_peak_74", "macs_OLAP1__OLAP_1_new_peak_70")	0043	ENSG00000246649	39985544	40005543	-	upstream	-4498	4498	NearestLocation	NA
