seqnames	start	end	width	strand	peakNames	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol
chr1	5658199	5658398	200	*	c("macs_OLAP2__OLAP_2_new_peak_4", "macs_OLAP1__OLAP_1_new_peak_5")	001	ENSG00000236142	5706267	5726266	+	upstream	-48068	47869	NearestLocation	NA
chr1	6473008	6473254	247	*	c("macs_OLAP1__OLAP_1_new_peak_7", "macs_OLAP2__OLAP_2_new_peak_6")	002	ENSG00000069812	6474731	6494730	-	downstream	21722	1477	Overlapping	HES2
chr1	6473008	6473254	247	*	c("macs_OLAP1__OLAP_1_new_peak_7", "macs_OLAP2__OLAP_2_new_peak_6")	002	ENSG00000245401	6465297	6485296	+	inside	7711	7711	Overlapping	NA
chr1	6473008	6473254	247	*	c("macs_OLAP1__OLAP_1_new_peak_7", "macs_OLAP2__OLAP_2_new_peak_6")	002	ENSG00000187017	6474849	6494848	+	upstream	-1841	1595	NearestLocation	ESPN
chr1	11797454	11797645	192	*	c("macs_OLAP2__OLAP_2_new_peak_26", "macs_OLAP1__OLAP_1_new_peak_29")	003	ENSG00000177674	11786142	11806141	+	inside	11312	8496	NearestLocation	AGTRAP
chr1	19747220	19747384	165	*	c("macs_OLAP1__OLAP_1_new_peak_37", "macs_OLAP2__OLAP_2_new_peak_33")	004	ENSG00000240490	19740879	19760878	+	inside	6341	6341	NearestLocation	NA
chr1	20668151	20668389	239	*	c("macs_OLAP1__OLAP_1_new_peak_43", "macs_OLAP2__OLAP_2_new_peak_39")	005	ENSG00000226664	20639681	20659680	-	upstream	-8471	8471	NearestLocation	NA
chr1	34125365	34125641	277	*	c("macs_OLAP1__OLAP_1_new_peak_60", "macs_OLAP2__OLAP_2_new_peak_67")	006	ENSG00000235907	33967609	33987608	+	downstream	157756	137757	NearestLocation	NA
chr1	42326486	42326670	185	*	c("macs_OLAP2__OLAP_2_new_peak_84", "macs_OLAP1__OLAP_1_new_peak_74")	007	ENSG00000227538	42496269	42516268	+	upstream	-169783	169599	NearestLocation	NA
chr1	46292964	46293216	253	*	c("macs_OLAP2__OLAP_2_new_peak_92", "macs_OLAP1__OLAP_1_new_peak_82")	008	ENSG00000232467	46303281	46323280	-	downstream	30316	10065	NearestLocation	NA
chr1	51416263	51416459	197	*	c("macs_OLAP2__OLAP_2_new_peak_103", "macs_OLAP1__OLAP_1_new_peak_91")	009	ENSG00000185104	51415936	51435935	-	inside	19672	327	Overlapping	FAF1
chr1	51416263	51416459	197	*	c("macs_OLAP2__OLAP_2_new_peak_103", "macs_OLAP1__OLAP_1_new_peak_91")	009	ENSG00000247169	51410234	51430233	+	inside	6029	6029	Overlapping	NA
chr1	51416263	51416459	197	*	c("macs_OLAP2__OLAP_2_new_peak_103", "macs_OLAP1__OLAP_1_new_peak_91")	009	ENSG00000123080	51416418	51436417	+	overlapStart	-155	41	NearestLocation	CDKN2C
chr1	57104996	57105226	231	*	c("macs_OLAP2__OLAP_2_new_peak_115", "macs_OLAP1__OLAP_1_new_peak_99")	010	ENSG00000162407	57100975	57120974	-	inside	15978	4021	Overlapping	PLPP3
