seqnames	start	end	width	strand	peakNames	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol
chr1	60132779	60133021	243	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_17", "macs_OLAPMMS2__OLAPMMS_2_new_peak_15")	01	ENSG00000231816	60228468	60248467	+	upstream	-95689	95447	NearestLocation	NA
chr1	65959582	65959921	340	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_16", "macs_OLAPMMS1__OLAPMMS_1_new_peak_20")	02	ENSG00000237852	65942090	65962089	+	inside	17492	2168	NearestLocation	NA
chr10	83029950	83030191	242	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_94", "macs_OLAPMMS2__OLAPMMS_2_new_peak_78")	03	ENSG00000226466	82887092	82907091	-	upstream	-122859	122859	NearestLocation	NA
chr10	113341240	113341479	240	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_100", "macs_OLAPMMS2__OLAPMMS_2_new_peak_82")	04	ENSG00000230809	113248700	113268699	-	upstream	-72541	72541	NearestLocation	NA
chr10	121702540	121702718	179	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_103", "macs_OLAPMMS2__OLAPMMS_2_new_peak_84")	05	ENSG00000229304	121662908	121682907	+	downstream	39632	19633	NearestLocation	NA
chr11	72758692	72758953	262	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_134", "macs_OLAPMMS2__OLAPMMS_2_new_peak_101")	06	ENSG00000137478	72843307	72863306	-	downstream	104614	84354	NearestLocation	FCHSD2
chr11	124752448	124752607	160	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_154", "macs_OLAPMMS2__OLAPMMS_2_new_peak_120")	07	ENSG00000154133	124757730	124777729	-	downstream	25281	5123	NearestLocation	ROBO4
chr12	5361306	5361487	182	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_124", "macs_OLAPMMS1__OLAPMMS_1_new_peak_163")	08	ENSG00000185652	5531281	5551280	+	upstream	-169975	169794	NearestLocation	NTF3
chr15	67814434	67814639	206	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_277", "macs_OLAPMMS2__OLAPMMS_2_new_peak_201")	09	ENSG00000189227	67803523	67823522	+	inside	10911	8883	Overlapping	C15orf61
chr15	67814434	67814639	206	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_277", "macs_OLAPMMS2__OLAPMMS_2_new_peak_201")	09	ENSG00000137764	67825022	67845021	+	upstream	-10588	10383	NearestLocation	MAP2K5
chr15	72447699	72447899	201	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_202", "macs_OLAPMMS1__OLAPMMS_1_new_peak_280")	10	ENSG00000066933	72400423	72420422	-	upstream	-27277	27277	NearestLocation	MYO9A
chr15	101430635	101430898	264	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_289", "macs_OLAPMMS2__OLAPMMS_2_new_peak_211")	11	ENSG00000184254	101409582	101429581	+	downstream	21053	1054	Overlapping	ALDH1A3
chr15	101430635	101430898	264	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_289", "macs_OLAPMMS2__OLAPMMS_2_new_peak_211")	11	ENSG00000154237	101449461	101469460	+	upstream	-18826	18563	NearestLocation	LRRK1
chr17	11433219	11433459	241	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_226", "macs_OLAPMMS1__OLAPMMS_1_new_peak_308")	12	ENSG00000007174	11491749	11511748	+	upstream	-58530	58290	NearestLocation	DNAH9
