seqnames	start	end	width	strand	peakNames	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol
chr1	2342227	2342643	417	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_1", "macs_DMSOMMS2__DMMS_2_new_peak_1", "macs_OLAPMMS1__OLAPMMS_1_new_peak_1", "macs_DMSOMMS1__DMMS_1_new_peak_1")	001	ENSG00000116151	2346220	2366219	-	downstream	23992	3577	Overlapping	MORN1
chr1	2342227	2342643	417	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_1", "macs_DMSOMMS2__DMMS_2_new_peak_1", "macs_OLAPMMS1__OLAPMMS_1_new_peak_1", "macs_DMSOMMS1__DMMS_1_new_peak_1")	001	ENSG00000157911	2334011	2354010	-	inside	11783	8216	Overlapping	PEX10
chr1	2342227	2342643	417	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_1", "macs_DMSOMMS2__DMMS_2_new_peak_1", "macs_OLAPMMS1__OLAPMMS_1_new_peak_1", "macs_DMSOMMS1__DMMS_1_new_peak_1")	001	ENSG00000229813	2347420	2367419	+	upstream	-5193	4777	NearestLocation	NA
chr1	11316298	11316661	364	*	c("macs_DMSOMMS2__DMMS_2_new_peak_10", "macs_OLAPMMS1__OLAPMMS_1_new_peak_7", "macs_OLAPMMS2__OLAPMMS_2_new_peak_6", "macs_DMSOMMS1__DMMS_1_new_peak_3")	002	ENSG00000198793	11312565	11332564	-	inside	16266	3733	Overlapping	MTOR
chr1	11316298	11316661	364	*	c("macs_DMSOMMS2__DMMS_2_new_peak_10", "macs_OLAPMMS1__OLAPMMS_1_new_peak_7", "macs_OLAPMMS2__OLAPMMS_2_new_peak_6", "macs_DMSOMMS1__DMMS_1_new_peak_3")	002	ENSG00000120942	11323264	11343263	+	upstream	-6966	6603	NearestLocation	UBIAD1
chr1	100951439	100951872	434	*	c("macs_DMSOMMS2__DMMS_2_new_peak_69", "macs_OLAPMMS1__OLAPMMS_1_new_peak_29", "macs_OLAPMMS2__OLAPMMS_2_new_peak_27", "macs_DMSOMMS1__DMMS_1_new_peak_4")	003	ENSG00000228086	100941554	100961553	-	inside	10114	9681	NearestLocation	NA
chr10	6297399	6297764	366	*	c("macs_DMSOMMS2__DMMS_2_new_peak_145", "macs_OLAPMMS2__OLAPMMS_2_new_peak_59", "macs_DMSOMMS1__DMMS_1_new_peak_6", "macs_OLAPMMS1__OLAPMMS_1_new_peak_69")	004	ENSG00000238366	6277795	6297794	-	inside	395	30	NearestLocation	NA
chr10	25459518	25459868	351	*	c("macs_DMSOMMS2__DMMS_2_new_peak_158", "macs_OLAPMMS2__OLAPMMS_2_new_peak_67", "macs_OLAPMMS1__OLAPMMS_1_new_peak_79", "macs_DMSOMMS1__DMMS_1_new_peak_8")	005	ENSG00000233642	25455206	25475205	-	inside	15687	4312	Overlapping	GPR158-AS1
chr10	25459518	25459868	351	*	c("macs_DMSOMMS2__DMMS_2_new_peak_158", "macs_OLAPMMS2__OLAPMMS_2_new_peak_67", "macs_OLAPMMS1__OLAPMMS_1_new_peak_79", "macs_DMSOMMS1__DMMS_1_new_peak_8")	005	ENSG00000151025	25453992	25473991	+	inside	5526	5526	NearestLocation	GPR158
chr10	59519566	59519898	333	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_89", "macs_DMSOMMS2__DMMS_2_new_peak_168", "macs_OLAPMMS2__OLAPMMS_2_new_peak_73", "macs_DMSOMMS1__DMMS_1_new_peak_9")	006	ENSG00000223841	59705056	59725055	+	upstream	-185490	185158	NearestLocation	NA
chr10	110481660	110482036	377	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_98", "macs_DMSOMMS1__DMMS_1_new_peak_10", "macs_OLAPMMS2__OLAPMMS_2_new_peak_81", "macs_DMSOMMS2__DMMS_2_new_peak_190")	007	ENSG00000223381	110460277	110480276	+	downstream	21383	1384	NearestLocation	NA
chr10	117201662	117201992	331	*	c("macs_DMSOMMS1__DMMS_1_new_peak_11", "macs_OLAPMMS1__OLAPMMS_1_new_peak_101", "macs_DMSOMMS2__DMMS_2_new_peak_191", "macs_OLAPMMS2__OLAPMMS_2_new_peak_83")	008	ENSG00000107518	116843125	116863124	+	downstream	358537	338538	NearestLocation	ATRNL1
chr10	123880598	123880873	276	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_104", "macs_DMSOMMS1__DMMS_1_new_peak_12", "macs_DMSOMMS2__DMMS_2_new_peak_196", "macs_OLAPMMS2__OLAPMMS_2_new_peak_85")	009	ENSG00000107672	123724733	123744732	-	upstream	-135866	135866	NearestLocation	NSMCE4A
chr11	7559921	7560260	340	*	c("macs_DMSOMMS1__DMMS_1_new_peak_13", "macs_DMSOMMS2__DMMS_2_new_peak_204", "macs_OLAPMMS2__OLAPMMS_2_new_peak_87", "macs_OLAPMMS1__OLAPMMS_1_new_peak_109")	010	ENSG00000166387	7525002	7545001	+	downstream	34919	14920	NearestLocation	PPFIBP2
chr11	19387272	19387523	252	*	c("macs_DMSOMMS1__DMMS_1_new_peak_15", "macs_DMSOMMS2__DMMS_2_new_peak_222", "macs_OLAPMMS1__OLAPMMS_1_new_peak_118", "macs_OLAPMMS2__OLAPMMS_2_new_peak_93")	011	ENSG00000200687	19413530	19433529	-	downstream	46257	26007	NearestLocation	NA
chr11	34692635	34692952	318	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_123", "macs_OLAPMMS2__OLAPMMS_2_new_peak_96", "macs_DMSOMMS2__DMMS_2_new_peak_231", "macs_DMSOMMS1__DMMS_1_new_peak_17")	012	ENSG00000135373	34632669	34652668	+	downstream	59966	39967	NearestLocation	EHF
